Estació,Denominació,Operador,Adreça,CP,Municipi,Codi Municipi,Tel. Atenc. Public,Latitud,Longitud,Georeferència,Localitzador a Google Maps,Serveis Territorials,Horari de servei,correu electrònic,Web,LIMADM_MUNICIPI,LIMADM COMARCA
B-02,Badalona,APPLUS ITV,Carrer INDÚSTRIA 427-449,8918,BADALONA,80155,,41.435358,2.237464,POINT (2.237464 41.435358),http://maps.google.com/maps?t=k&q=41.435358+2.237464,B,De dilluns a divendres de 6:30 a 21h i dissabtes de 8 a 14h. (Els dies: 7 gener. D'11 a 14 abril. D'1 agost a 9 setembre. 31 octubre. 5 i 9 desembre. Del 27 a 30 desembre: Oberta de 7 a 14h.),b02@applus.com,http://www.applusiteuve.com,531,29
B-07,Viladecans,APPLUS ITV,"c. Jocelyn Bell, 16",8440,VILADECANS,83015,,41.3028,2.019474,POINT (2.019474 41.3028),http://maps.google.com/maps?t=k&q=41.3028+2.019474,B,"De dilluns a dijous de 7 a 22h, divendres de 7 a 21h i dissabtes de 9 a 14h. (Els dies:7 gener.D'11 a 14 abril.D'1 agost a 9 setembre.31 octubre.5 i 9 desembre.De 27 a 30 desembre: Oberta de 7 a 14h.)",b07@applus.com,http://www.applusiteuve.com,511,31
B-12,Igualada,APPLUS ITV,Carrer PAÏSOS BAIXOS - POL. IND. LES COMES 18,8700,IGUALADA,81022,,41.591438,1.635399,POINT (1.635399 41.591438),http://maps.google.com/maps?t=k&q=41.591438+1.635399,B,De dilluns a divendres de 7 a 21h i dissabtes de 8 a 14h. (Els dies: 7 gener. D'11 a 14 abril. D'1 agost a 9 setembre. 31 octubre. 5 i 9 desembre. De 27 a 30 desembre: Oberta de 7 a 14h.),b12@applus.com,http://www.applusiteuve.com,595,24
L-04,Montferrer,CERTIO (TÜV-RHEINLAND),"Ctra. N-260, Km. 230,5; ""Eix Pirenenc"" de Puigcerdà a Sabiñànigo",25711,MONTFERRER I CASTELLBÒ,251403,937351654,42.346625,1.429275,POINT (1.429275 42.346625),http://maps.google.com/maps?t=k&q=42.346625+1.429275,L,De dilluns a divendres de 8h a 14h i de 15h a 17h,l04@certio.com,http://www.itv-tuvrheinland.es,252,5
B-26,Sant Celoni,ATISAE (TÜV-SUD),"Carretera Gualba, 41-43",8470,SANT CELONI,82021,931179070,41.695043,2.504893,POINT (2.504893 41.695043),http://maps.google.com/maps?t=k&q=41.695043+2.504893,B,"DLL-DV: 06:00-21:00 , DS:07:00-14:00",itv-stceloni@tuv-sud.es,http://www.tuvsud.com/itv,591,22
GI-07,Blanes,RVSA-PREVENCONTROL,Avinguda de l¿estació 47,17300,BLANES,170237,972492912,41.675735,2.777621,POINT (2.777621 41.675735),http://maps.google.com/maps?t=k&q=41.675735+2.777621,G,"Dilluns a divendres de 7 a 21. Dissabtes de 8 a 14. Del 31/07 al 25/08  de dilluns a divendres, de 7 a 14:15.",laselva@prevencontrol.net,https://www.citaprevia.cat/,760,20
T-02,Reus,APPLUS ITV,"Carretera VALENCIA-TARRAGONA KM. 1155,14 S/N",43206,REUS,431233,,41.114431,1.164596,POINT (1.164596 41.114431),http://maps.google.com/maps?t=k&q=41.114431+1.164596,T,"De dilluns a divendres de 6 a 21h i dissabtes de 9 a 14h. (Els dies: 5 i 7 gener. 14 abril. 23,27,28 i 30 juny. D'1 agost a 11 setembre. 31 octubre. 5,7,9,27,28,29 i 30 desembre: Oberta de 7 a 14h.)",t02@applus.com,http://www.applusiteuve.com,421,39
B-16,Còrsega,CERTIO (TÜV-RHEINLAND),"c. Còrsega, 384-392",8037,BARCELONA,80193,,41.399458,2.163486,POINT (2.163486 41.399458),http://maps.google.com/maps?t=k&q=41.399458+2.163486,B,De dilluns a divendres de 7h a 21h,b16@certio.com,http://www.itv-tuvrheinland.es,512,29
B-22,Sant Cugat,CERTIO (TÜV-RHEINLAND),"c. Amposta, 2; Pol. Ind. Sant Mamet",8174,SANT CUGAT DEL VALLÈS,82055,,41.480016,2.06332,POINT (2.06332 41.480016),http://maps.google.com/maps?t=k&q=41.480016+2.06332,B,De dilluns a divendres de 7h a 21. Dissabte de 8h a 14h,b22@certio.com,http://www.itv-tuvrheinland.es,937,26
L-08,Vielha,APPLUS ITV,"Carretera DE VIELHA A BOSSOST KM. 164,00 S/N",25555,VIELHA E MIJARAN,252430,,42.712861,0.797632,POINT (0.797632 42.712861),http://maps.google.com/maps?t=k&q=42.712861+0.797632,L,"De dilluns a divendres,matins 8-13'30h i tardes 14'30-17h,i dissabtes tancat. (D'1 a 31 d'agost:Oberta de dilluns a dijous de 7 a 14'15h i divendres de 7 a 14h) (De 26 a 30 desembre:Oberta de 8 a 15h)",l08@applus.com,,326,1
